symbol,timestamp,open,high,low,close,volume
UNIUSDT,2025-04-26 14:40:00,5.812,5.812,5.795,5.796,4301.0
UNIUSDT,2025-04-26 14:45:00,5.796,5.807,5.792,5.796,5041.0
UNIUSDT,2025-04-26 14:50:00,5.796,5.803,5.79,5.798,2565.0
UNIUSDT,2025-04-26 14:55:00,5.798,5.803,5.795,5.795,5845.0
UNIUSDT,2025-04-26 15:00:00,5.795,5.805,5.795,5.804,2884.0
UNIUSDT,2025-04-26 15:05:00,5.804,5.811,5.799,5.804,2350.0
UNIUSDT,2025-04-26 15:10:00,5.804,5.808,5.795,5.805,732.0
UNIUSDT,2025-04-26 15:15:00,5.805,5.821,5.8,5.802,1379.0
UNIUSDT,2025-04-26 15:20:00,5.802,5.816,5.802,5.813,1509.0
UNIUSDT,2025-04-26 15:25:00,5.813,5.826,5.813,5.821,1180.0
UNIUSDT,2025-04-26 15:30:00,5.821,5.836,5.816,5.827,11995.0
UNIUSDT,2025-04-26 15:35:00,5.827,5.83,5.821,5.823,11838.0
UNIUSDT,2025-04-26 15:40:00,5.823,5.837,5.823,5.836,1302.0
UNIUSDT,2025-04-26 15:45:00,5.836,5.844,5.825,5.843,3541.0
UNIUSDT,2025-04-26 15:50:00,5.843,5.85,5.834,5.84,8634.0
UNIUSDT,2025-04-26 15:55:00,5.84,5.845,5.832,5.834,12572.0
UNIUSDT,2025-04-26 16:00:00,5.834,5.834,5.817,5.817,2940.0
UNIUSDT,2025-04-26 16:05:00,5.817,5.822,5.805,5.806,33533.0
UNIUSDT,2025-04-26 16:10:00,5.806,5.816,5.806,5.816,7571.0
UNIUSDT,2025-04-26 16:15:00,5.816,5.82,5.806,5.817,540.0
UNIUSDT,2025-04-26 16:20:00,5.817,5.83,5.817,5.828,772.0
UNIUSDT,2025-04-26 16:25:00,5.828,5.842,5.828,5.839,1955.0
UNIUSDT,2025-04-26 16:30:00,5.839,5.841,5.827,5.833,6165.0
UNIUSDT,2025-04-26 16:35:00,5.833,5.833,5.801,5.801,8224.0
UNIUSDT,2025-04-26 16:40:00,5.801,5.806,5.786,5.795,10235.0
UNIUSDT,2025-04-26 16:45:00,5.795,5.806,5.789,5.805,19426.0
UNIUSDT,2025-04-26 16:50:00,5.805,5.81,5.794,5.808,879.0
UNIUSDT,2025-04-26 16:55:00,5.808,5.811,5.798,5.804,2435.0
UNIUSDT,2025-04-26 17:00:00,5.804,5.813,5.797,5.813,21029.0
UNIUSDT,2025-04-26 17:05:00,5.813,5.822,5.809,5.813,1429.0
UNIUSDT,2025-04-26 17:10:00,5.813,5.814,5.795,5.802,1693.0
UNIUSDT,2025-04-26 17:15:00,5.802,5.811,5.799,5.804,4941.0
UNIUSDT,2025-04-26 17:20:00,5.804,5.813,5.795,5.813,366.0
UNIUSDT,2025-04-26 17:25:00,5.813,5.825,5.81,5.825,716.0
UNIUSDT,2025-04-26 17:30:00,5.825,5.827,5.821,5.825,412.0
UNIUSDT,2025-04-26 17:35:00,5.825,5.83,5.812,5.816,600.0
UNIUSDT,2025-04-26 17:40:00,5.816,5.822,5.816,5.821,1183.0
UNIUSDT,2025-04-26 17:45:00,5.821,5.827,5.814,5.825,1334.0
UNIUSDT,2025-04-26 17:50:00,5.825,5.825,5.811,5.814,549.0
UNIUSDT,2025-04-26 17:55:00,5.814,5.816,5.802,5.816,427.0
UNIUSDT,2025-04-26 18:00:00,5.816,5.816,5.8,5.806,1648.0
UNIUSDT,2025-04-26 18:05:00,5.806,5.818,5.806,5.813,1105.0
UNIUSDT,2025-04-26 18:10:00,5.813,5.813,5.796,5.798,440.0
UNIUSDT,2025-04-26 18:15:00,5.798,5.802,5.792,5.8,3245.0
UNIUSDT,2025-04-26 18:20:00,5.8,5.809,5.8,5.806,315.0
UNIUSDT,2025-04-26 18:25:00,5.806,5.816,5.806,5.815,435.0
UNIUSDT,2025-04-26 18:30:00,5.815,5.815,5.808,5.809,1126.0
UNIUSDT,2025-04-26 18:35:00,5.809,5.819,5.803,5.809,7388.0
UNIUSDT,2025-04-26 18:40:00,5.809,5.809,5.802,5.806,20500.0
UNIUSDT,2025-04-26 18:45:00,5.806,5.816,5.806,5.816,484.0
UNIUSDT,2025-04-26 18:50:00,5.816,5.817,5.802,5.806,2822.0
UNIUSDT,2025-04-26 18:55:00,5.806,5.806,5.794,5.796,6430.0
UNIUSDT,2025-04-26 19:00:00,5.796,5.805,5.796,5.805,696.0
UNIUSDT,2025-04-26 19:05:00,5.805,5.805,5.783,5.788,517.0
UNIUSDT,2025-04-26 19:10:00,5.788,5.795,5.786,5.795,2830.0
UNIUSDT,2025-04-26 19:15:00,5.795,5.801,5.789,5.797,2463.0
UNIUSDT,2025-04-26 19:20:00,5.797,5.802,5.789,5.798,850.0
UNIUSDT,2025-04-26 19:25:00,5.798,5.807,5.797,5.804,5740.0
UNIUSDT,2025-04-26 19:30:00,5.804,5.808,5.792,5.806,634.0
UNIUSDT,2025-04-26 19:35:00,5.806,5.81,5.801,5.801,1416.0
UNIUSDT,2025-04-26 19:40:00,5.801,5.807,5.797,5.8,378.0
UNIUSDT,2025-04-26 19:45:00,5.8,5.813,5.799,5.801,7459.0
UNIUSDT,2025-04-26 19:50:00,5.801,5.807,5.794,5.803,532.0
UNIUSDT,2025-04-26 19:55:00,5.803,5.819,5.802,5.819,433.0
UNIUSDT,2025-04-26 20:00:00,5.819,5.838,5.816,5.837,6638.0
UNIUSDT,2025-04-26 20:05:00,5.837,5.845,5.83,5.834,4885.0
UNIUSDT,2025-04-26 20:10:00,5.834,5.839,5.818,5.822,14575.0
UNIUSDT,2025-04-26 20:15:00,5.822,5.822,5.806,5.808,1251.0
UNIUSDT,2025-04-26 20:20:00,5.808,5.812,5.801,5.801,385.0
UNIUSDT,2025-04-26 20:25:00,5.801,5.805,5.798,5.803,1006.0
UNIUSDT,2025-04-26 20:30:00,5.803,5.808,5.799,5.806,5296.0
UNIUSDT,2025-04-26 20:35:00,5.806,5.806,5.8,5.802,998.0
UNIUSDT,2025-04-26 20:40:00,5.802,5.804,5.794,5.794,1642.0
UNIUSDT,2025-04-26 20:45:00,5.794,5.806,5.794,5.797,2364.0
UNIUSDT,2025-04-26 20:50:00,5.797,5.802,5.789,5.791,2605.0
UNIUSDT,2025-04-26 20:55:00,5.791,5.795,5.784,5.784,1220.0
UNIUSDT,2025-04-26 21:00:00,5.784,5.801,5.784,5.798,16062.0
UNIUSDT,2025-04-26 21:05:00,5.798,5.807,5.795,5.806,807.0
