symbol,timestamp,open,high,low,close,volume
USUALUSDT,2025-04-26 14:40:00,0.1428,0.143,0.1426,0.143,4254.0
USUALUSDT,2025-04-26 14:45:00,0.143,0.1433,0.1427,0.1431,3734.0
USUALUSDT,2025-04-26 14:50:00,0.1431,0.1431,0.1428,0.1428,3447.0
USUALUSDT,2025-04-26 14:55:00,0.1428,0.1429,0.1425,0.1425,3508.0
USUALUSDT,2025-04-26 15:00:00,0.1425,0.1429,0.1425,0.1427,2720.0
USUALUSDT,2025-04-26 15:05:00,0.1427,0.1435,0.1427,0.1434,8622.0
USUALUSDT,2025-04-26 15:10:00,0.1434,0.1438,0.1432,0.1436,19621.0
USUALUSDT,2025-04-26 15:15:00,0.1436,0.1437,0.143,0.143,60231.0
USUALUSDT,2025-04-26 15:20:00,0.143,0.1433,0.143,0.1433,55462.0
USUALUSDT,2025-04-26 15:25:00,0.1433,0.1435,0.1431,0.1435,4218.0
USUALUSDT,2025-04-26 15:30:00,0.1435,0.1435,0.1431,0.1431,4134.0
USUALUSDT,2025-04-26 15:35:00,0.1431,0.1437,0.1431,0.1436,55618.0
USUALUSDT,2025-04-26 15:40:00,0.1436,0.1437,0.1435,0.1436,1702.0
USUALUSDT,2025-04-26 15:45:00,0.1436,0.144,0.1435,0.1439,56073.0
USUALUSDT,2025-04-26 15:50:00,0.1439,0.1441,0.1438,0.1439,8586.0
USUALUSDT,2025-04-26 15:55:00,0.1439,0.1442,0.1439,0.1441,5344.0
USUALUSDT,2025-04-26 16:00:00,0.1441,0.1441,0.1438,0.1439,7664.0
USUALUSDT,2025-04-26 16:05:00,0.1439,0.1441,0.1434,0.1434,9372.0
USUALUSDT,2025-04-26 16:10:00,0.1434,0.1437,0.1434,0.1437,6587.0
USUALUSDT,2025-04-26 16:15:00,0.1437,0.1442,0.1436,0.1439,14416.0
USUALUSDT,2025-04-26 16:20:00,0.1439,0.1439,0.1437,0.1438,16475.0
USUALUSDT,2025-04-26 16:25:00,0.1438,0.1438,0.1436,0.1436,43379.0
USUALUSDT,2025-04-26 16:30:00,0.1436,0.1436,0.1428,0.1428,7808.0
USUALUSDT,2025-04-26 16:35:00,0.1428,0.1433,0.1428,0.1432,17832.0
USUALUSDT,2025-04-26 16:40:00,0.1432,0.1432,0.1422,0.1424,11713.0
USUALUSDT,2025-04-26 16:45:00,0.1424,0.143,0.1422,0.143,4354.0
USUALUSDT,2025-04-26 16:50:00,0.143,0.143,0.1428,0.1429,3047.0
USUALUSDT,2025-04-26 16:55:00,0.1429,0.1429,0.1427,0.1428,7841.0
USUALUSDT,2025-04-26 17:00:00,0.1428,0.1432,0.1426,0.1427,4086.0
USUALUSDT,2025-04-26 17:05:00,0.1427,0.1432,0.1427,0.1432,4879.0
USUALUSDT,2025-04-26 17:10:00,0.1432,0.1433,0.1429,0.143,3033.0
USUALUSDT,2025-04-26 17:15:00,0.143,0.1436,0.143,0.1434,11997.0
USUALUSDT,2025-04-26 17:20:00,0.1434,0.1434,0.143,0.143,2724.0
USUALUSDT,2025-04-26 17:25:00,0.143,0.1432,0.143,0.1432,4519.0
USUALUSDT,2025-04-26 17:30:00,0.1432,0.1434,0.1432,0.1432,4498.0
USUALUSDT,2025-04-26 17:35:00,0.1432,0.1435,0.1432,0.1434,5867.0
USUALUSDT,2025-04-26 17:40:00,0.1434,0.1438,0.1434,0.1437,1545.0
