symbol,timestamp,open,high,low,close,volume
UXLINKUSDT,2025-04-25 16:30:00,0.4678,0.4708,0.4668,0.4701,27334.4
UXLINKUSDT,2025-04-25 16:45:00,0.4701,0.4703,0.469,0.4697,29667.6
UXLINKUSDT,2025-04-25 17:00:00,0.4697,0.4736,0.4697,0.4722,51447.9
UXLINKUSDT,2025-04-25 17:15:00,0.4722,0.473,0.4713,0.4718,48901.0
UXLINKUSDT,2025-04-25 17:30:00,0.4718,0.4718,0.4658,0.4674,133097.0
UXLINKUSDT,2025-04-25 17:45:00,0.4674,0.4676,0.4659,0.4662,26167.9
UXLINKUSDT,2025-04-25 18:00:00,0.4662,0.4674,0.4661,0.4669,10471.4
UXLINKUSDT,2025-04-25 18:15:00,0.4669,0.469,0.4662,0.469,10492.2
UXLINKUSDT,2025-04-25 18:30:00,0.469,0.47,0.469,0.4699,13764.9
UXLINKUSDT,2025-04-25 18:45:00,0.4699,0.4705,0.4678,0.4684,11725.9
UXLINKUSDT,2025-04-25 19:00:00,0.4684,0.469,0.4653,0.466,113166.2
UXLINKUSDT,2025-04-25 19:15:00,0.466,0.4676,0.466,0.4674,13798.2
UXLINKUSDT,2025-04-25 19:30:00,0.4674,0.4677,0.4658,0.4662,70581.1
UXLINKUSDT,2025-04-25 19:45:00,0.4662,0.4671,0.4656,0.467,27518.1
UXLINKUSDT,2025-04-25 20:00:00,0.467,0.4676,0.4666,0.4674,18491.0
UXLINKUSDT,2025-04-25 20:15:00,0.4674,0.4687,0.4666,0.4679,38410.1
UXLINKUSDT,2025-04-25 20:30:00,0.4679,0.4684,0.4669,0.4672,27626.2
UXLINKUSDT,2025-04-25 20:45:00,0.4672,0.4689,0.4672,0.4686,38220.3
UXLINKUSDT,2025-04-25 21:00:00,0.4686,0.4698,0.4678,0.4694,23388.5
UXLINKUSDT,2025-04-25 21:15:00,0.4694,0.4704,0.4668,0.4673,18882.6
UXLINKUSDT,2025-04-25 21:30:00,0.4673,0.4689,0.4668,0.4677,21002.1
UXLINKUSDT,2025-04-25 21:45:00,0.4677,0.4679,0.4655,0.4663,108508.6
UXLINKUSDT,2025-04-25 22:00:00,0.4663,0.4685,0.4663,0.4685,35422.1
UXLINKUSDT,2025-04-25 22:15:00,0.4685,0.4713,0.4683,0.4713,39352.7
UXLINKUSDT,2025-04-25 22:30:00,0.4713,0.4718,0.4706,0.4714,25639.5
UXLINKUSDT,2025-04-25 22:45:00,0.4714,0.4743,0.4714,0.4736,196056.8
UXLINKUSDT,2025-04-25 23:00:00,0.4736,0.4776,0.4726,0.474,175408.1
UXLINKUSDT,2025-04-25 23:15:00,0.474,0.4745,0.4723,0.4745,88532.7
UXLINKUSDT,2025-04-25 23:30:00,0.4745,0.4746,0.4732,0.474,42641.0
UXLINKUSDT,2025-04-25 23:45:00,0.474,0.4765,0.4729,0.476,96902.2
UXLINKUSDT,2025-04-26 00:00:00,0.476,0.476,0.4696,0.47,302084.9
