symbol,timestamp,open,high,low,close,volume
VANAUSDT,2025-04-26 14:40:00,6.16,6.189,6.157,6.178,4748.9
VANAUSDT,2025-04-26 14:45:00,6.178,6.196,6.162,6.191,3626.8
VANAUSDT,2025-04-26 14:50:00,6.191,6.203,6.175,6.182,1062.2
VANAUSDT,2025-04-26 14:55:00,6.182,6.196,6.163,6.175,842.7
VANAUSDT,2025-04-26 15:00:00,6.175,6.237,6.175,6.233,1461.3
VANAUSDT,2025-04-26 15:05:00,6.233,6.246,6.223,6.233,945.8
VANAUSDT,2025-04-26 15:10:00,6.233,6.256,6.213,6.224,366.1
VANAUSDT,2025-04-26 15:15:00,6.224,6.258,6.223,6.245,1749.9
VANAUSDT,2025-04-26 15:20:00,6.245,6.261,6.231,6.245,266.6
VANAUSDT,2025-04-26 15:25:00,6.245,6.291,6.245,6.264,647.3
VANAUSDT,2025-04-26 15:30:00,6.264,6.282,6.252,6.266,4066.1
VANAUSDT,2025-04-26 15:35:00,6.266,6.282,6.249,6.26,4367.3
VANAUSDT,2025-04-26 15:40:00,6.26,6.3,6.256,6.298,1550.9
VANAUSDT,2025-04-26 15:45:00,6.298,6.304,6.283,6.291,2185.7
VANAUSDT,2025-04-26 15:50:00,6.291,6.303,6.277,6.302,4092.6
VANAUSDT,2025-04-26 15:55:00,6.302,6.314,6.28,6.293,514.9
VANAUSDT,2025-04-26 16:00:00,6.293,6.293,6.261,6.265,649.5
VANAUSDT,2025-04-26 16:05:00,6.265,6.265,6.231,6.234,459.5
VANAUSDT,2025-04-26 16:10:00,6.234,6.243,6.233,6.238,145.4
VANAUSDT,2025-04-26 16:15:00,6.238,6.251,6.234,6.243,310.0
VANAUSDT,2025-04-26 16:20:00,6.243,6.256,6.243,6.252,398.4
VANAUSDT,2025-04-26 16:25:00,6.252,6.256,6.247,6.253,243.7
VANAUSDT,2025-04-26 16:30:00,6.253,6.255,6.212,6.212,857.6
VANAUSDT,2025-04-26 16:35:00,6.212,6.217,6.191,6.201,1350.2
VANAUSDT,2025-04-26 16:40:00,6.201,6.21,6.163,6.188,1673.7
VANAUSDT,2025-04-26 16:45:00,6.188,6.205,6.179,6.197,233.6
VANAUSDT,2025-04-26 16:50:00,6.197,6.209,6.186,6.207,396.7
VANAUSDT,2025-04-26 16:55:00,6.207,6.219,6.206,6.219,2057.1
VANAUSDT,2025-04-26 17:00:00,6.219,6.238,6.21,6.237,334.1
VANAUSDT,2025-04-26 17:05:00,6.237,6.237,6.218,6.225,163.7
VANAUSDT,2025-04-26 17:10:00,6.225,6.237,6.196,6.2,2575.9
VANAUSDT,2025-04-26 17:15:00,6.2,6.216,6.2,6.21,225.5
VANAUSDT,2025-04-26 17:20:00,6.21,6.212,6.194,6.211,120.4
VANAUSDT,2025-04-26 17:25:00,6.211,6.248,6.207,6.244,1095.5
VANAUSDT,2025-04-26 17:30:00,6.244,6.247,6.23,6.245,258.9
VANAUSDT,2025-04-26 17:35:00,6.245,6.247,6.238,6.238,215.8
VANAUSDT,2025-04-26 17:40:00,6.238,6.242,6.231,6.242,176.1
VANAUSDT,2025-04-26 17:45:00,6.242,6.242,6.236,6.236,229.9
VANAUSDT,2025-04-26 17:50:00,6.236,6.237,6.215,6.216,102.0
VANAUSDT,2025-04-26 17:55:00,6.216,6.216,6.199,6.214,383.5
VANAUSDT,2025-04-26 18:00:00,6.214,6.214,6.19,6.2,252.8
VANAUSDT,2025-04-26 18:05:00,6.2,6.217,6.2,6.217,147.1
VANAUSDT,2025-04-26 18:10:00,6.217,6.218,6.185,6.191,245.3
VANAUSDT,2025-04-26 18:15:00,6.191,6.227,6.191,6.225,124.1
VANAUSDT,2025-04-26 18:20:00,6.225,6.225,6.208,6.215,763.9
VANAUSDT,2025-04-26 18:25:00,6.215,6.228,6.213,6.215,165.4
VANAUSDT,2025-04-26 18:30:00,6.215,6.222,6.211,6.212,171.3
VANAUSDT,2025-04-26 18:35:00,6.212,6.216,6.188,6.196,160.9
VANAUSDT,2025-04-26 18:40:00,6.196,6.196,6.175,6.181,176.4
VANAUSDT,2025-04-26 18:45:00,6.181,6.194,6.179,6.19,165.0
VANAUSDT,2025-04-26 18:50:00,6.19,6.19,6.168,6.168,628.1
VANAUSDT,2025-04-26 18:55:00,6.168,6.168,6.155,6.159,549.3
VANAUSDT,2025-04-26 19:00:00,6.159,6.166,6.152,6.159,196.6
VANAUSDT,2025-04-26 19:05:00,6.159,6.169,6.146,6.146,465.8
VANAUSDT,2025-04-26 19:10:00,6.146,6.158,6.139,6.155,205.1
VANAUSDT,2025-04-26 19:15:00,6.155,6.164,6.133,6.144,2824.6
VANAUSDT,2025-04-26 19:20:00,6.144,6.152,6.139,6.141,150.0
VANAUSDT,2025-04-26 19:25:00,6.141,6.173,6.141,6.173,160.8
VANAUSDT,2025-04-26 19:30:00,6.173,6.173,6.155,6.167,195.9
VANAUSDT,2025-04-26 19:35:00,6.167,6.188,6.167,6.186,177.1
VANAUSDT,2025-04-26 19:40:00,6.186,6.195,6.182,6.193,221.6
VANAUSDT,2025-04-26 19:45:00,6.193,6.215,6.18,6.199,1023.2
VANAUSDT,2025-04-26 19:50:00,6.199,6.199,6.188,6.191,252.8
VANAUSDT,2025-04-26 19:55:00,6.191,6.192,6.178,6.192,288.4
VANAUSDT,2025-04-26 20:00:00,6.192,6.197,6.179,6.184,158.5
VANAUSDT,2025-04-26 20:05:00,6.184,6.195,6.174,6.177,193.2
VANAUSDT,2025-04-26 20:10:00,6.177,6.187,6.165,6.177,387.0
VANAUSDT,2025-04-26 20:15:00,6.177,6.186,6.176,6.181,189.7
VANAUSDT,2025-04-26 20:20:00,6.181,6.184,6.169,6.169,278.2
VANAUSDT,2025-04-26 20:25:00,6.169,6.175,6.162,6.175,336.7
VANAUSDT,2025-04-26 20:30:00,6.175,6.188,6.17,6.185,232.6
VANAUSDT,2025-04-26 20:35:00,6.185,6.19,6.176,6.184,208.1
VANAUSDT,2025-04-26 20:40:00,6.184,6.192,6.183,6.185,255.3
VANAUSDT,2025-04-26 20:45:00,6.185,6.199,6.185,6.192,755.4
VANAUSDT,2025-04-26 20:50:00,6.192,6.197,6.173,6.173,130.4
VANAUSDT,2025-04-26 20:55:00,6.173,6.177,6.163,6.163,204.1
VANAUSDT,2025-04-26 21:00:00,6.163,6.172,6.153,6.168,149.7
VANAUSDT,2025-04-26 21:05:00,6.168,6.187,6.16,6.187,170.2
VANAUSDT,2025-04-26 21:10:00,6.187,6.207,6.187,6.207,110.0
VANAUSDT,2025-04-26 21:15:00,6.207,6.207,6.184,6.186,202.5
VANAUSDT,2025-04-26 21:20:00,6.186,6.212,6.182,6.212,226.4
VANAUSDT,2025-04-26 21:25:00,6.212,6.225,6.212,6.218,185.4
VANAUSDT,2025-04-26 21:30:00,6.218,6.224,6.194,6.205,213.1
VANAUSDT,2025-04-26 21:35:00,6.205,6.205,6.181,6.198,199.6
VANAUSDT,2025-04-26 21:40:00,6.198,6.217,6.196,6.217,228.9
VANAUSDT,2025-04-26 21:45:00,6.217,6.217,6.212,6.215,111.8
VANAUSDT,2025-04-26 21:50:00,6.215,6.216,6.199,6.21,161.8
VANAUSDT,2025-04-26 21:55:00,6.21,6.21,6.185,6.194,235.0
VANAUSDT,2025-04-26 22:00:00,6.194,6.195,6.186,6.189,169.8
VANAUSDT,2025-04-26 22:05:00,6.189,6.233,6.189,6.223,1624.5
