symbol,timestamp,open,high,low,close,volume
VIRTUALUSDT,2025-04-26 14:40:00,1.0221,1.025,1.017,1.0189,148649.0
VIRTUALUSDT,2025-04-26 14:45:00,1.0189,1.024,1.0161,1.0218,42741.0
VIRTUALUSDT,2025-04-26 14:50:00,1.0218,1.0267,1.0163,1.0191,204904.0
VIRTUALUSDT,2025-04-26 14:55:00,1.0191,1.024,1.0178,1.0237,10676.0
VIRTUALUSDT,2025-04-26 15:00:00,1.0237,1.0266,1.018,1.0231,37173.0
VIRTUALUSDT,2025-04-26 15:05:00,1.0231,1.0445,1.0229,1.0401,237967.0
VIRTUALUSDT,2025-04-26 15:10:00,1.0401,1.0574,1.0395,1.053,248440.0
VIRTUALUSDT,2025-04-26 15:15:00,1.053,1.0647,1.0463,1.0468,349387.0
VIRTUALUSDT,2025-04-26 15:20:00,1.0468,1.0593,1.0468,1.0567,125425.0
VIRTUALUSDT,2025-04-26 15:25:00,1.0567,1.0763,1.0564,1.0704,318171.0
VIRTUALUSDT,2025-04-26 15:30:00,1.0704,1.0795,1.0623,1.0712,487403.0
VIRTUALUSDT,2025-04-26 15:35:00,1.0712,1.0761,1.063,1.0632,219951.0
VIRTUALUSDT,2025-04-26 15:40:00,1.0632,1.0702,1.0626,1.0681,108798.0
VIRTUALUSDT,2025-04-26 15:45:00,1.0681,1.0722,1.0604,1.0654,146548.0
VIRTUALUSDT,2025-04-26 15:50:00,1.0654,1.0834,1.0644,1.083,113594.0
VIRTUALUSDT,2025-04-26 15:55:00,1.083,1.0879,1.077,1.079,479542.0
VIRTUALUSDT,2025-04-26 16:00:00,1.079,1.0842,1.0686,1.0737,182811.0
VIRTUALUSDT,2025-04-26 16:05:00,1.0737,1.0755,1.0674,1.0717,62105.0
VIRTUALUSDT,2025-04-26 16:10:00,1.0717,1.0769,1.0679,1.0703,59314.0
VIRTUALUSDT,2025-04-26 16:15:00,1.0703,1.0724,1.0628,1.0715,53661.0
VIRTUALUSDT,2025-04-26 16:20:00,1.0715,1.0756,1.0683,1.0721,85523.0
VIRTUALUSDT,2025-04-26 16:25:00,1.0721,1.0745,1.0675,1.0721,38295.0
VIRTUALUSDT,2025-04-26 16:30:00,1.0721,1.0739,1.0624,1.0631,207009.0
VIRTUALUSDT,2025-04-26 16:35:00,1.0631,1.0649,1.057,1.0589,51009.0
VIRTUALUSDT,2025-04-26 16:40:00,1.0589,1.0605,1.0455,1.0542,174912.0
VIRTUALUSDT,2025-04-26 16:45:00,1.0542,1.0617,1.0474,1.0616,99825.0
VIRTUALUSDT,2025-04-26 16:50:00,1.0616,1.0633,1.0549,1.0549,48221.0
VIRTUALUSDT,2025-04-26 16:55:00,1.0549,1.0632,1.0549,1.0613,51104.0
VIRTUALUSDT,2025-04-26 17:00:00,1.0613,1.0702,1.0597,1.0702,81056.0
VIRTUALUSDT,2025-04-26 17:05:00,1.0702,1.075,1.0691,1.0711,62119.0
VIRTUALUSDT,2025-04-26 17:10:00,1.0711,1.0711,1.0622,1.064,56543.0
VIRTUALUSDT,2025-04-26 17:15:00,1.064,1.0721,1.064,1.0682,9569.0
VIRTUALUSDT,2025-04-26 17:20:00,1.0682,1.07,1.0643,1.0692,10111.0
VIRTUALUSDT,2025-04-26 17:25:00,1.0692,1.0735,1.0677,1.0677,23894.0
VIRTUALUSDT,2025-04-26 17:30:00,1.0677,1.0787,1.0663,1.0726,89586.0
VIRTUALUSDT,2025-04-26 17:35:00,1.0726,1.0784,1.0715,1.0762,57803.0
VIRTUALUSDT,2025-04-26 17:40:00,1.0762,1.0762,1.0688,1.0705,79147.0
VIRTUALUSDT,2025-04-26 17:45:00,1.0705,1.0716,1.068,1.0683,58876.0
VIRTUALUSDT,2025-04-26 17:50:00,1.0683,1.0721,1.0652,1.0657,11221.0
VIRTUALUSDT,2025-04-26 17:55:00,1.0657,1.0658,1.0621,1.0655,17336.0
VIRTUALUSDT,2025-04-26 18:00:00,1.0655,1.0667,1.0596,1.0646,21968.0
VIRTUALUSDT,2025-04-26 18:05:00,1.0646,1.0709,1.0639,1.0699,12244.0
VIRTUALUSDT,2025-04-26 18:10:00,1.0699,1.0713,1.0616,1.0623,8893.0
VIRTUALUSDT,2025-04-26 18:15:00,1.0623,1.071,1.0612,1.0709,13897.0
VIRTUALUSDT,2025-04-26 18:20:00,1.0709,1.0719,1.066,1.0677,47809.0
VIRTUALUSDT,2025-04-26 18:25:00,1.0677,1.0759,1.0672,1.0734,46107.0
VIRTUALUSDT,2025-04-26 18:30:00,1.0734,1.0744,1.0679,1.069,45962.0
VIRTUALUSDT,2025-04-26 18:35:00,1.069,1.0724,1.0671,1.0695,45337.0
VIRTUALUSDT,2025-04-26 18:40:00,1.0695,1.0712,1.0647,1.0687,3154.0
VIRTUALUSDT,2025-04-26 18:45:00,1.0687,1.0727,1.0668,1.0668,39478.0
VIRTUALUSDT,2025-04-26 18:50:00,1.0668,1.0699,1.0625,1.0628,14200.0
VIRTUALUSDT,2025-04-26 18:55:00,1.0628,1.0662,1.0628,1.0643,5839.0
VIRTUALUSDT,2025-04-26 19:00:00,1.0643,1.0702,1.0631,1.0636,24268.0
VIRTUALUSDT,2025-04-26 19:05:00,1.0636,1.0636,1.0507,1.0554,160251.0
VIRTUALUSDT,2025-04-26 19:10:00,1.0554,1.0638,1.0517,1.0637,33999.0
VIRTUALUSDT,2025-04-26 19:15:00,1.0637,1.0677,1.0602,1.0605,34744.0
VIRTUALUSDT,2025-04-26 19:20:00,1.0605,1.0683,1.0592,1.0616,68145.0
VIRTUALUSDT,2025-04-26 19:25:00,1.0616,1.0683,1.0605,1.0624,23859.0
VIRTUALUSDT,2025-04-26 19:30:00,1.0624,1.0653,1.0607,1.0653,22023.0
VIRTUALUSDT,2025-04-26 19:35:00,1.0653,1.0713,1.0653,1.069,65261.0
VIRTUALUSDT,2025-04-26 19:40:00,1.069,1.0742,1.069,1.0707,28303.0
VIRTUALUSDT,2025-04-26 19:45:00,1.0707,1.0722,1.0664,1.0685,93596.0
VIRTUALUSDT,2025-04-26 19:50:00,1.0685,1.0735,1.066,1.0687,64940.0
VIRTUALUSDT,2025-04-26 19:55:00,1.0687,1.0736,1.0666,1.0724,7788.0
