symbol,timestamp,open,high,low,close,volume
WCTUSDT,2025-04-26 14:40:00,0.4292,0.431,0.4276,0.4308,102011.0
WCTUSDT,2025-04-26 14:45:00,0.4308,0.4347,0.4308,0.4341,104782.0
WCTUSDT,2025-04-26 14:50:00,0.4341,0.4341,0.4306,0.432,81455.0
WCTUSDT,2025-04-26 14:55:00,0.432,0.433,0.4294,0.4294,89511.0
WCTUSDT,2025-04-26 15:00:00,0.4294,0.4314,0.4268,0.4278,115741.0
WCTUSDT,2025-04-26 15:05:00,0.4278,0.4296,0.4269,0.4294,24386.0
WCTUSDT,2025-04-26 15:10:00,0.4294,0.433,0.4294,0.4309,90872.0
WCTUSDT,2025-04-26 15:15:00,0.4309,0.4323,0.4292,0.431,95709.0
WCTUSDT,2025-04-26 15:20:00,0.431,0.432,0.4285,0.4287,39115.0
WCTUSDT,2025-04-26 15:25:00,0.4287,0.4296,0.4276,0.4289,34713.0
WCTUSDT,2025-04-26 15:30:00,0.4289,0.43,0.4245,0.4249,115421.0
WCTUSDT,2025-04-26 15:35:00,0.4249,0.426,0.4246,0.4258,28167.0
WCTUSDT,2025-04-26 15:40:00,0.4258,0.4263,0.4245,0.4245,11568.0
WCTUSDT,2025-04-26 15:45:00,0.4245,0.4245,0.4234,0.4234,28167.0
WCTUSDT,2025-04-26 15:50:00,0.4234,0.4241,0.4222,0.4227,45692.0
WCTUSDT,2025-04-26 15:55:00,0.4227,0.4249,0.4223,0.4245,44602.0
WCTUSDT,2025-04-26 16:00:00,0.4245,0.4278,0.4234,0.4278,64141.0
WCTUSDT,2025-04-26 16:05:00,0.4278,0.4298,0.4259,0.4259,30307.0
WCTUSDT,2025-04-26 16:10:00,0.4259,0.4267,0.4242,0.4252,32072.0
WCTUSDT,2025-04-26 16:15:00,0.4252,0.4254,0.4199,0.4236,92104.0
WCTUSDT,2025-04-26 16:20:00,0.4236,0.4244,0.4227,0.4229,10390.0
WCTUSDT,2025-04-26 16:25:00,0.4229,0.4232,0.4218,0.4232,5671.0
WCTUSDT,2025-04-26 16:30:00,0.4232,0.4239,0.421,0.4217,17345.0
WCTUSDT,2025-04-26 16:35:00,0.4217,0.4218,0.4192,0.4194,40218.0
WCTUSDT,2025-04-26 16:40:00,0.4194,0.4199,0.4184,0.4193,23768.0
WCTUSDT,2025-04-26 16:45:00,0.4193,0.4205,0.418,0.4204,19665.0
WCTUSDT,2025-04-26 16:50:00,0.4204,0.4212,0.4198,0.4211,62336.0
WCTUSDT,2025-04-26 16:55:00,0.4211,0.423,0.4209,0.4225,50099.0
WCTUSDT,2025-04-26 17:00:00,0.4225,0.4227,0.4207,0.4218,61801.0
WCTUSDT,2025-04-26 17:05:00,0.4218,0.4242,0.4218,0.4228,63475.0
WCTUSDT,2025-04-26 17:10:00,0.4228,0.423,0.4199,0.4199,62145.0
WCTUSDT,2025-04-26 17:15:00,0.4199,0.4213,0.4198,0.4198,9938.0
WCTUSDT,2025-04-26 17:20:00,0.4198,0.4216,0.4198,0.4204,5225.0
WCTUSDT,2025-04-26 17:25:00,0.4204,0.4224,0.4204,0.4223,47454.0
WCTUSDT,2025-04-26 17:30:00,0.4223,0.4248,0.4223,0.4248,7919.0
WCTUSDT,2025-04-26 17:35:00,0.4248,0.4272,0.4245,0.4259,38176.0
WCTUSDT,2025-04-26 17:40:00,0.4259,0.4263,0.4241,0.4241,37038.0
WCTUSDT,2025-04-26 17:45:00,0.4241,0.427,0.4239,0.427,9995.0
WCTUSDT,2025-04-26 17:50:00,0.427,0.4285,0.427,0.428,34491.0
WCTUSDT,2025-04-26 17:55:00,0.428,0.4284,0.4264,0.4269,30833.0
WCTUSDT,2025-04-26 18:00:00,0.4269,0.4292,0.4258,0.4292,69145.0
WCTUSDT,2025-04-26 18:05:00,0.4292,0.4296,0.4271,0.4283,10935.0
WCTUSDT,2025-04-26 18:10:00,0.4283,0.4294,0.4271,0.4282,25573.0
WCTUSDT,2025-04-26 18:15:00,0.4282,0.4285,0.4257,0.4259,83509.0
WCTUSDT,2025-04-26 18:20:00,0.4259,0.4277,0.4256,0.4261,25909.0
WCTUSDT,2025-04-26 18:25:00,0.4261,0.4277,0.426,0.4275,5709.0
WCTUSDT,2025-04-26 18:30:00,0.4275,0.4282,0.4248,0.4257,139520.0
WCTUSDT,2025-04-26 18:35:00,0.4257,0.4257,0.4232,0.4237,37161.0
WCTUSDT,2025-04-26 18:40:00,0.4237,0.4254,0.4232,0.425,59024.0
WCTUSDT,2025-04-26 18:45:00,0.425,0.4266,0.4245,0.4262,39139.0
WCTUSDT,2025-04-26 18:50:00,0.4262,0.4267,0.4245,0.4252,18777.0
WCTUSDT,2025-04-26 18:55:00,0.4252,0.4266,0.4247,0.426,9716.0
WCTUSDT,2025-04-26 19:00:00,0.426,0.4276,0.4259,0.4275,3907.0
WCTUSDT,2025-04-26 19:05:00,0.4275,0.4275,0.4241,0.4241,84627.0
WCTUSDT,2025-04-26 19:10:00,0.4241,0.4261,0.4241,0.4261,25381.0
WCTUSDT,2025-04-26 19:15:00,0.4261,0.4267,0.4239,0.4239,48884.0
WCTUSDT,2025-04-26 19:20:00,0.4239,0.4246,0.4235,0.424,8600.0
WCTUSDT,2025-04-26 19:25:00,0.424,0.425,0.424,0.425,4947.0
WCTUSDT,2025-04-26 19:30:00,0.425,0.4254,0.4224,0.4231,33503.0
WCTUSDT,2025-04-26 19:35:00,0.4231,0.4238,0.4224,0.4227,27330.0
WCTUSDT,2025-04-26 19:40:00,0.4227,0.4227,0.4223,0.4227,13193.0
WCTUSDT,2025-04-26 19:45:00,0.4227,0.423,0.4219,0.4221,44530.0
WCTUSDT,2025-04-26 19:50:00,0.4221,0.423,0.4214,0.4214,73211.0
WCTUSDT,2025-04-26 19:55:00,0.4214,0.4217,0.4207,0.4211,23835.0
WCTUSDT,2025-04-26 20:00:00,0.4211,0.4218,0.4197,0.4215,44816.0
WCTUSDT,2025-04-26 20:05:00,0.4215,0.4215,0.4196,0.4199,49703.0
WCTUSDT,2025-04-26 20:10:00,0.4199,0.4211,0.4198,0.4206,7756.0
WCTUSDT,2025-04-26 20:15:00,0.4206,0.4209,0.4196,0.4203,13049.0
WCTUSDT,2025-04-26 20:20:00,0.4203,0.4216,0.4203,0.4209,12198.0
WCTUSDT,2025-04-26 20:25:00,0.4209,0.4217,0.4203,0.4203,29633.0
WCTUSDT,2025-04-26 20:30:00,0.4203,0.4213,0.4197,0.4213,10125.0
WCTUSDT,2025-04-26 20:35:00,0.4213,0.4213,0.4196,0.4203,7010.0
WCTUSDT,2025-04-26 20:40:00,0.4203,0.4204,0.4197,0.4197,16175.0
WCTUSDT,2025-04-26 20:45:00,0.4197,0.4206,0.4196,0.4202,14204.0
WCTUSDT,2025-04-26 20:50:00,0.4202,0.4206,0.4187,0.4192,55427.0
WCTUSDT,2025-04-26 20:55:00,0.4192,0.4199,0.4171,0.4171,65167.0
WCTUSDT,2025-04-26 21:00:00,0.4171,0.4188,0.4171,0.4186,25567.0
WCTUSDT,2025-04-26 21:05:00,0.4186,0.4186,0.4165,0.4172,13366.0
WCTUSDT,2025-04-26 21:10:00,0.4172,0.4187,0.417,0.4187,32423.0
WCTUSDT,2025-04-26 21:15:00,0.4187,0.4219,0.4187,0.4213,33443.0
WCTUSDT,2025-04-26 21:20:00,0.4213,0.4213,0.4187,0.4199,12190.0
