symbol,timestamp,open,high,low,close,volume
WOOUSDT,2025-04-26 14:40:00,0.0739,0.0741,0.07375,0.07379,12198.5
WOOUSDT,2025-04-26 14:45:00,0.07379,0.07406,0.0737,0.07383,25607.3
WOOUSDT,2025-04-26 14:50:00,0.07383,0.07383,0.07353,0.07362,16750.1
WOOUSDT,2025-04-26 14:55:00,0.07362,0.07363,0.07341,0.07344,16745.2
WOOUSDT,2025-04-26 15:00:00,0.07344,0.07369,0.07341,0.07361,9635.7
WOOUSDT,2025-04-26 15:05:00,0.07361,0.07395,0.07359,0.07385,20281.3
WOOUSDT,2025-04-26 15:10:00,0.07385,0.07386,0.07365,0.07365,17718.9
WOOUSDT,2025-04-26 15:15:00,0.07365,0.07401,0.07359,0.07359,21752.5
WOOUSDT,2025-04-26 15:20:00,0.07359,0.07383,0.07359,0.07383,13348.7
WOOUSDT,2025-04-26 15:25:00,0.07383,0.07411,0.0738,0.07411,12248.1
WOOUSDT,2025-04-26 15:30:00,0.07411,0.07411,0.07379,0.07379,10365.4
WOOUSDT,2025-04-26 15:35:00,0.07379,0.07407,0.07379,0.07397,12752.5
WOOUSDT,2025-04-26 15:40:00,0.07397,0.07407,0.07387,0.07397,10772.6
WOOUSDT,2025-04-26 15:45:00,0.07397,0.07423,0.07388,0.07423,14441.4
WOOUSDT,2025-04-26 15:50:00,0.07423,0.07429,0.07409,0.07419,40993.9
WOOUSDT,2025-04-26 15:55:00,0.07419,0.07434,0.07419,0.07422,7927.6
WOOUSDT,2025-04-26 16:00:00,0.07422,0.07441,0.07422,0.07441,8426.8
WOOUSDT,2025-04-26 16:05:00,0.07441,0.07441,0.07408,0.07417,21863.2
WOOUSDT,2025-04-26 16:10:00,0.07417,0.07434,0.07414,0.07432,28791.3
WOOUSDT,2025-04-26 16:15:00,0.07432,0.07459,0.07422,0.07455,40458.0
WOOUSDT,2025-04-26 16:20:00,0.07455,0.07472,0.07446,0.07464,14939.0
WOOUSDT,2025-04-26 16:25:00,0.07464,0.07473,0.07462,0.07462,7827.7
WOOUSDT,2025-04-26 16:30:00,0.07462,0.07462,0.07429,0.07429,17100.3
WOOUSDT,2025-04-26 16:35:00,0.07429,0.0744,0.07412,0.0742,10773.5
WOOUSDT,2025-04-26 16:40:00,0.0742,0.07424,0.07364,0.0738,39919.5
WOOUSDT,2025-04-26 16:45:00,0.0738,0.07397,0.07368,0.07397,12777.9
WOOUSDT,2025-04-26 16:50:00,0.07397,0.07401,0.07371,0.0738,9332.8
WOOUSDT,2025-04-26 16:55:00,0.0738,0.07388,0.07367,0.07371,19567.5
WOOUSDT,2025-04-26 17:00:00,0.07371,0.07391,0.07371,0.07386,13751.1
WOOUSDT,2025-04-26 17:05:00,0.07386,0.07395,0.07381,0.07393,8594.3
WOOUSDT,2025-04-26 17:10:00,0.07393,0.07393,0.0737,0.07371,12582.7
WOOUSDT,2025-04-26 17:15:00,0.07371,0.07392,0.07371,0.07378,13803.1
WOOUSDT,2025-04-26 17:20:00,0.07378,0.07382,0.07354,0.07382,30761.1
WOOUSDT,2025-04-26 17:25:00,0.07382,0.07406,0.07373,0.07403,16131.6
WOOUSDT,2025-04-26 17:30:00,0.07403,0.07417,0.07403,0.07413,13323.3
WOOUSDT,2025-04-26 17:35:00,0.07413,0.07413,0.07399,0.07402,13825.4
WOOUSDT,2025-04-26 17:40:00,0.07402,0.07416,0.07402,0.07413,17112.6
WOOUSDT,2025-04-26 17:45:00,0.07413,0.07418,0.07408,0.07415,15175.6
WOOUSDT,2025-04-26 17:50:00,0.07415,0.07415,0.07398,0.074,8846.7
WOOUSDT,2025-04-26 17:55:00,0.074,0.07401,0.0739,0.07398,11019.5
WOOUSDT,2025-04-26 18:00:00,0.07398,0.07406,0.07385,0.07406,24470.3
WOOUSDT,2025-04-26 18:05:00,0.07406,0.07425,0.07406,0.07414,25739.7
WOOUSDT,2025-04-26 18:10:00,0.07414,0.07422,0.07397,0.07397,16869.3
WOOUSDT,2025-04-26 18:15:00,0.07397,0.07403,0.0738,0.0739,21145.0
WOOUSDT,2025-04-26 18:20:00,0.0739,0.07403,0.07387,0.07402,12436.1
WOOUSDT,2025-04-26 18:25:00,0.07402,0.07415,0.07402,0.07405,22727.3
WOOUSDT,2025-04-26 18:30:00,0.07405,0.07409,0.07401,0.07409,11053.4
WOOUSDT,2025-04-26 18:35:00,0.07409,0.07417,0.07404,0.07407,12252.2
WOOUSDT,2025-04-26 18:40:00,0.07407,0.07417,0.07396,0.07398,14634.1
WOOUSDT,2025-04-26 18:45:00,0.07398,0.07414,0.07398,0.07413,23191.9
WOOUSDT,2025-04-26 18:50:00,0.07413,0.07413,0.07383,0.07384,12863.1
WOOUSDT,2025-04-26 18:55:00,0.07384,0.07392,0.07375,0.07375,8593.7
WOOUSDT,2025-04-26 19:00:00,0.07375,0.07399,0.07375,0.07399,13949.3
WOOUSDT,2025-04-26 19:05:00,0.07399,0.07399,0.07383,0.07383,15391.7
WOOUSDT,2025-04-26 19:10:00,0.07383,0.07393,0.07377,0.07393,15078.6
WOOUSDT,2025-04-26 19:15:00,0.07393,0.07399,0.07377,0.07397,11502.9
WOOUSDT,2025-04-26 19:20:00,0.07397,0.07405,0.07394,0.07403,7093.6
WOOUSDT,2025-04-26 19:25:00,0.07403,0.07426,0.07403,0.07423,10885.5
WOOUSDT,2025-04-26 19:30:00,0.07423,0.07426,0.074,0.07415,9400.4
