symbol,timestamp,open,high,low,close,volume
XVSUSDT,2025-04-25 16:30:00,5.573,5.6,5.564,5.6,752.8
XVSUSDT,2025-04-25 16:45:00,5.6,5.6,5.58,5.594,1769.7
XVSUSDT,2025-04-25 17:00:00,5.594,5.608,5.592,5.603,734.5
XVSUSDT,2025-04-25 17:15:00,5.603,5.63,5.599,5.611,936.5
XVSUSDT,2025-04-25 17:30:00,5.611,5.616,5.563,5.591,939.1
XVSUSDT,2025-04-25 17:45:00,5.591,5.591,5.568,5.576,801.9
XVSUSDT,2025-04-25 18:00:00,5.576,5.61,5.576,5.606,736.7
XVSUSDT,2025-04-25 18:15:00,5.606,5.62,5.6,5.62,885.3
XVSUSDT,2025-04-25 18:30:00,5.62,5.634,5.61,5.627,756.2
XVSUSDT,2025-04-25 18:45:00,5.627,5.629,5.608,5.611,787.8
XVSUSDT,2025-04-25 19:00:00,5.611,5.613,5.582,5.583,618.5
XVSUSDT,2025-04-25 19:15:00,5.583,5.617,5.583,5.613,871.6
XVSUSDT,2025-04-25 19:30:00,5.613,5.613,5.599,5.6,785.7
XVSUSDT,2025-04-25 19:45:00,5.6,5.617,5.6,5.613,797.5
XVSUSDT,2025-04-25 20:00:00,5.613,5.621,5.597,5.6,1406.2
XVSUSDT,2025-04-25 20:15:00,5.6,5.611,5.597,5.597,820.1
XVSUSDT,2025-04-25 20:30:00,5.597,5.623,5.597,5.619,1496.9
XVSUSDT,2025-04-25 20:45:00,5.619,5.626,5.618,5.626,760.2
XVSUSDT,2025-04-25 21:00:00,5.626,5.643,5.621,5.632,843.6
XVSUSDT,2025-04-25 21:15:00,5.632,5.632,5.608,5.612,722.4
XVSUSDT,2025-04-25 21:30:00,5.612,5.612,5.596,5.603,829.8
XVSUSDT,2025-04-25 21:45:00,5.603,5.61,5.562,5.578,906.7
XVSUSDT,2025-04-25 22:00:00,5.578,5.61,5.578,5.61,917.2
XVSUSDT,2025-04-25 22:15:00,5.61,5.618,5.6,5.617,4061.5
XVSUSDT,2025-04-25 22:30:00,5.617,5.63,5.613,5.623,899.8
XVSUSDT,2025-04-25 22:45:00,5.623,5.627,5.617,5.619,660.2
XVSUSDT,2025-04-25 23:00:00,5.619,5.626,5.613,5.619,649.9
