symbol,timestamp,open,high,low,close,volume
YGGUSDT,2025-04-25 16:30:00,0.1994,0.2009,0.1992,0.2008,8474.9
YGGUSDT,2025-04-25 16:45:00,0.2008,0.201,0.2001,0.201,9765.8
YGGUSDT,2025-04-25 17:00:00,0.201,0.2018,0.201,0.2013,13640.2
YGGUSDT,2025-04-25 17:15:00,0.2013,0.2019,0.201,0.2015,9979.1
YGGUSDT,2025-04-25 17:30:00,0.2015,0.2015,0.1988,0.1994,16784.2
YGGUSDT,2025-04-25 17:45:00,0.1994,0.2001,0.199,0.1996,18620.0
YGGUSDT,2025-04-25 18:00:00,0.1996,0.2013,0.1995,0.2011,11528.0
YGGUSDT,2025-04-25 18:15:00,0.2011,0.2039,0.201,0.2035,50653.2
YGGUSDT,2025-04-25 18:30:00,0.2035,0.2035,0.2026,0.2031,12673.5
YGGUSDT,2025-04-25 18:45:00,0.2031,0.2038,0.202,0.2021,9905.9
YGGUSDT,2025-04-25 19:00:00,0.2021,0.2028,0.2006,0.2006,22622.6
YGGUSDT,2025-04-25 19:15:00,0.2006,0.2022,0.2005,0.2022,7877.7
YGGUSDT,2025-04-25 19:30:00,0.2022,0.2026,0.2019,0.2019,5395.5
YGGUSDT,2025-04-25 19:45:00,0.2019,0.2027,0.2018,0.2027,7281.9
YGGUSDT,2025-04-25 20:00:00,0.2027,0.2027,0.2018,0.2018,7151.2
YGGUSDT,2025-04-25 20:15:00,0.2018,0.2026,0.2015,0.2023,11708.0
YGGUSDT,2025-04-25 20:30:00,0.2023,0.2031,0.2023,0.2031,9479.7
YGGUSDT,2025-04-25 20:45:00,0.2031,0.2038,0.2031,0.2035,10120.9
YGGUSDT,2025-04-25 21:00:00,0.2035,0.205,0.2034,0.205,19937.6
YGGUSDT,2025-04-25 21:15:00,0.205,0.2055,0.2039,0.2055,17621.3
YGGUSDT,2025-04-25 21:30:00,0.2055,0.2062,0.204,0.2045,14014.8
YGGUSDT,2025-04-25 21:45:00,0.2045,0.2045,0.2014,0.2021,7655.4
YGGUSDT,2025-04-25 22:00:00,0.2021,0.2029,0.2018,0.2023,6233.3
YGGUSDT,2025-04-25 22:15:00,0.2023,0.203,0.202,0.2028,7686.5
YGGUSDT,2025-04-25 22:30:00,0.2028,0.2042,0.2028,0.2042,12337.5
YGGUSDT,2025-04-25 22:45:00,0.2042,0.2043,0.2037,0.2038,9936.4
YGGUSDT,2025-04-25 23:00:00,0.2038,0.2041,0.2027,0.2034,20682.1
YGGUSDT,2025-04-25 23:15:00,0.2034,0.2045,0.2031,0.2042,12036.0
YGGUSDT,2025-04-25 23:30:00,0.2042,0.2042,0.203,0.2032,8958.6
YGGUSDT,2025-04-25 23:45:00,0.2032,0.2037,0.203,0.2035,7655.0
YGGUSDT,2025-04-26 00:00:00,0.2035,0.2041,0.2032,0.2035,6574.1
