symbol,timestamp,open,high,low,close,volume
ZRCUSDT,2025-04-25 16:30:00,0.03907,0.03943,0.03904,0.03943,39500.0
ZRCUSDT,2025-04-25 16:45:00,0.03943,0.03943,0.03926,0.03935,29320.0
ZRCUSDT,2025-04-25 17:00:00,0.03935,0.03944,0.03924,0.03939,91410.0
ZRCUSDT,2025-04-25 17:15:00,0.03939,0.03947,0.03937,0.03938,46250.0
ZRCUSDT,2025-04-25 17:30:00,0.03938,0.03938,0.03901,0.03906,127280.0
ZRCUSDT,2025-04-25 17:45:00,0.03906,0.03906,0.03872,0.03878,82230.0
ZRCUSDT,2025-04-25 18:00:00,0.03878,0.03897,0.03878,0.03891,51610.0
ZRCUSDT,2025-04-25 18:15:00,0.03891,0.03907,0.03888,0.03907,45830.0
ZRCUSDT,2025-04-25 18:30:00,0.03907,0.0393,0.03907,0.0393,109250.0
ZRCUSDT,2025-04-25 18:45:00,0.0393,0.03933,0.03902,0.03905,43650.0
ZRCUSDT,2025-04-25 19:00:00,0.03905,0.03918,0.03895,0.03896,36100.0
ZRCUSDT,2025-04-25 19:15:00,0.03896,0.0391,0.0389,0.03904,30970.0
ZRCUSDT,2025-04-25 19:30:00,0.03904,0.03904,0.03888,0.03897,41350.0
ZRCUSDT,2025-04-25 19:45:00,0.03897,0.03925,0.03885,0.03925,42940.0
ZRCUSDT,2025-04-25 20:00:00,0.03925,0.0393,0.03922,0.03925,33350.0
ZRCUSDT,2025-04-25 20:15:00,0.03925,0.0393,0.03912,0.03919,39410.0
ZRCUSDT,2025-04-25 20:30:00,0.03919,0.03922,0.03907,0.03907,16260.0
ZRCUSDT,2025-04-25 20:45:00,0.03907,0.03921,0.03903,0.03913,24230.0
ZRCUSDT,2025-04-25 21:00:00,0.03913,0.03923,0.03908,0.0391,47840.0
ZRCUSDT,2025-04-25 21:15:00,0.0391,0.03912,0.03878,0.03911,93790.0
ZRCUSDT,2025-04-25 21:30:00,0.03911,0.03933,0.0391,0.03923,103870.0
ZRCUSDT,2025-04-25 21:45:00,0.03923,0.03923,0.03882,0.03891,102410.0
ZRCUSDT,2025-04-25 22:00:00,0.03891,0.03908,0.03889,0.039,67730.0
ZRCUSDT,2025-04-25 22:15:00,0.039,0.03906,0.03885,0.03902,64440.0
ZRCUSDT,2025-04-25 22:30:00,0.03902,0.03919,0.03901,0.03916,38500.0
ZRCUSDT,2025-04-25 22:45:00,0.03916,0.03922,0.03913,0.03915,45900.0
ZRCUSDT,2025-04-25 23:00:00,0.03915,0.03917,0.03893,0.03894,53670.0
ZRCUSDT,2025-04-25 23:15:00,0.03894,0.03903,0.03888,0.0389,66340.0
ZRCUSDT,2025-04-25 23:30:00,0.0389,0.0389,0.03882,0.03884,24680.0
ZRCUSDT,2025-04-25 23:45:00,0.03884,0.03893,0.03878,0.0388,32900.0
ZRCUSDT,2025-04-26 00:00:00,0.0388,0.03907,0.03878,0.03903,52490.0
ZRCUSDT,2025-04-26 00:15:00,0.03903,0.03906,0.03889,0.03889,54370.0
ZRCUSDT,2025-04-26 00:30:00,0.03889,0.03891,0.03883,0.0389,27230.0
ZRCUSDT,2025-04-26 00:45:00,0.0389,0.03912,0.0389,0.03907,42750.0
ZRCUSDT,2025-04-26 01:00:00,0.03907,0.03908,0.03892,0.039,25860.0
ZRCUSDT,2025-04-26 01:15:00,0.039,0.0393,0.039,0.03924,27480.0
ZRCUSDT,2025-04-26 01:30:00,0.03924,0.03969,0.03923,0.03952,63190.0
ZRCUSDT,2025-04-26 01:45:00,0.03952,0.03957,0.03943,0.03956,61210.0
ZRCUSDT,2025-04-26 02:00:00,0.03956,0.03956,0.03928,0.03929,38610.0
ZRCUSDT,2025-04-26 02:15:00,0.03929,0.03937,0.03929,0.03936,59750.0
ZRCUSDT,2025-04-26 02:30:00,0.03936,0.03967,0.03931,0.03966,33000.0
ZRCUSDT,2025-04-26 02:45:00,0.03966,0.03972,0.03956,0.0396,35830.0
ZRCUSDT,2025-04-26 03:00:00,0.0396,0.03964,0.03946,0.03962,33760.0
ZRCUSDT,2025-04-26 03:15:00,0.03962,0.03962,0.03925,0.03926,49930.0
ZRCUSDT,2025-04-26 03:30:00,0.03926,0.03937,0.03925,0.03927,36460.0
ZRCUSDT,2025-04-26 03:45:00,0.03927,0.0394,0.03922,0.03927,33970.0
ZRCUSDT,2025-04-26 04:00:00,0.03927,0.03931,0.0392,0.03929,23270.0
