symbol,timestamp,open,high,low,close,volume
ZRXUSDT,2025-04-25 16:30:00,0.2755,0.277,0.2751,0.277,4938.0
ZRXUSDT,2025-04-25 16:45:00,0.277,0.2777,0.2765,0.2773,8703.0
ZRXUSDT,2025-04-25 17:00:00,0.2773,0.2777,0.2769,0.2776,12993.0
ZRXUSDT,2025-04-25 17:15:00,0.2776,0.2776,0.2768,0.2768,1926.0
ZRXUSDT,2025-04-25 17:30:00,0.2768,0.2768,0.2739,0.2747,9529.0
ZRXUSDT,2025-04-25 17:45:00,0.2747,0.2747,0.2732,0.2735,3587.0
ZRXUSDT,2025-04-25 18:00:00,0.2735,0.2754,0.2735,0.2747,1082.0
ZRXUSDT,2025-04-25 18:15:00,0.2747,0.2761,0.2747,0.2759,2387.0
ZRXUSDT,2025-04-25 18:30:00,0.2759,0.2766,0.2756,0.2763,5592.0
ZRXUSDT,2025-04-25 18:45:00,0.2763,0.2763,0.2744,0.2746,2749.0
ZRXUSDT,2025-04-25 19:00:00,0.2746,0.2754,0.2734,0.2734,10395.0
ZRXUSDT,2025-04-25 19:15:00,0.2734,0.2747,0.2734,0.2747,30482.0
ZRXUSDT,2025-04-25 19:30:00,0.2747,0.2749,0.2739,0.2746,1454.0
ZRXUSDT,2025-04-25 19:45:00,0.2746,0.275,0.2746,0.275,4365.0
ZRXUSDT,2025-04-25 20:00:00,0.275,0.2759,0.275,0.2752,1308.0
ZRXUSDT,2025-04-25 20:15:00,0.2752,0.2757,0.2745,0.2749,8124.0
ZRXUSDT,2025-04-25 20:30:00,0.2749,0.2755,0.2748,0.2748,1218.0
ZRXUSDT,2025-04-25 20:45:00,0.2748,0.2756,0.2748,0.2755,471.0
ZRXUSDT,2025-04-25 21:00:00,0.2755,0.2767,0.2752,0.2761,3331.0
ZRXUSDT,2025-04-25 21:15:00,0.2761,0.2761,0.2746,0.2746,4186.0
ZRXUSDT,2025-04-25 21:30:00,0.2746,0.2755,0.2745,0.2753,7850.0
ZRXUSDT,2025-04-25 21:45:00,0.2753,0.2753,0.2729,0.2736,8117.0
ZRXUSDT,2025-04-25 22:00:00,0.2736,0.2752,0.2736,0.2752,4986.0
ZRXUSDT,2025-04-25 22:15:00,0.2752,0.2755,0.2751,0.2755,2650.0
ZRXUSDT,2025-04-25 22:30:00,0.2755,0.277,0.2755,0.2767,42509.0
ZRXUSDT,2025-04-25 22:45:00,0.2767,0.2767,0.2762,0.2762,270.0
ZRXUSDT,2025-04-25 23:00:00,0.2762,0.2768,0.2762,0.2768,485.0
ZRXUSDT,2025-04-25 23:15:00,0.2768,0.2768,0.2753,0.276,3429.0
ZRXUSDT,2025-04-25 23:30:00,0.276,0.2764,0.2754,0.276,13547.0
ZRXUSDT,2025-04-25 23:45:00,0.276,0.2765,0.276,0.2765,25.0
ZRXUSDT,2025-04-26 00:00:00,0.2765,0.2781,0.2765,0.2779,4164.0
ZRXUSDT,2025-04-26 00:15:00,0.2779,0.2785,0.2776,0.2781,2823.0
ZRXUSDT,2025-04-26 00:30:00,0.2781,0.2781,0.2759,0.2771,3000.0
ZRXUSDT,2025-04-26 00:45:00,0.2771,0.2795,0.277,0.2791,15033.0
ZRXUSDT,2025-04-26 01:00:00,0.2791,0.2793,0.2771,0.2783,13368.0
ZRXUSDT,2025-04-26 01:15:00,0.2783,0.2812,0.2782,0.2807,21071.0
ZRXUSDT,2025-04-26 01:30:00,0.2807,0.2849,0.2806,0.2829,21283.0
ZRXUSDT,2025-04-26 01:45:00,0.2829,0.2845,0.2829,0.2838,39743.0
ZRXUSDT,2025-04-26 02:00:00,0.2838,0.2849,0.2814,0.2821,139746.0
ZRXUSDT,2025-04-26 02:15:00,0.2821,0.2838,0.2821,0.2836,6306.0
ZRXUSDT,2025-04-26 02:30:00,0.2836,0.2848,0.2831,0.2844,12443.0
ZRXUSDT,2025-04-26 02:45:00,0.2844,0.2848,0.2835,0.2835,5240.0
ZRXUSDT,2025-04-26 03:00:00,0.2835,0.284,0.2833,0.2836,677.0
ZRXUSDT,2025-04-26 03:15:00,0.2836,0.2836,0.2823,0.2823,5331.0
ZRXUSDT,2025-04-26 03:30:00,0.2823,0.2831,0.2823,0.2828,3290.0
ZRXUSDT,2025-04-26 03:45:00,0.2828,0.2839,0.2823,0.2826,5570.0
ZRXUSDT,2025-04-26 04:00:00,0.2826,0.2843,0.2826,0.284,2626.0
ZRXUSDT,2025-04-26 04:15:00,0.284,0.284,0.283,0.2831,9314.0
ZRXUSDT,2025-04-26 04:30:00,0.2831,0.2831,0.2809,0.2818,1633.0
ZRXUSDT,2025-04-26 04:45:00,0.2818,0.2821,0.2809,0.2809,432.0
ZRXUSDT,2025-04-26 05:00:00,0.2809,0.2809,0.2798,0.2798,1821.0
ZRXUSDT,2025-04-26 05:15:00,0.2798,0.2798,0.2785,0.2785,198.0
ZRXUSDT,2025-04-26 05:30:00,0.2785,0.2801,0.2785,0.2801,1305.0
ZRXUSDT,2025-04-26 05:45:00,0.2801,0.2807,0.2798,0.2798,2623.0
ZRXUSDT,2025-04-26 06:00:00,0.2798,0.2819,0.2798,0.2817,7495.0
ZRXUSDT,2025-04-26 06:15:00,0.2817,0.2833,0.2817,0.2829,18801.0
ZRXUSDT,2025-04-26 06:30:00,0.2829,0.2847,0.2829,0.2834,7605.0
ZRXUSDT,2025-04-26 06:45:00,0.2834,0.2841,0.2833,0.2837,8226.0
ZRXUSDT,2025-04-26 07:00:00,0.2837,0.2841,0.2831,0.2841,9230.0
