Date,Open,High,Low,Close,Tickvol,Volume,Spread
2012-09-06 00:00:00,8855.0,8865.0,8855.0,8860.0,8,0,0
2012-09-07 00:00:00,8855.0,8925.0,8801.0,8845.0,1096,0,0
2012-09-09 00:00:00,8840.0,8845.0,8825.0,8840.0,31,0,0
2012-09-10 00:00:00,8845.0,8879.0,8800.0,8810.0,607,0,0
2012-09-11 00:00:00,8805.0,8840.0,8769.0,8810.0,667,0,0
2012-09-12 00:00:00,8815.0,8990.0,8815.0,8950.0,1046,0,0
2012-09-13 00:00:00,8948.0,9024.0,8924.0,8985.0,228,0,0
2012-09-19 00:00:00,9084.8,9220.0,9070.0,9102.0,2762,0,0
2012-09-20 00:00:00,9103.0,9145.0,8970.0,9005.0,4041,0,0
2012-09-21 00:00:00,9035.0,9075.0,9030.0,9056.0,2588,0,0
2012-09-24 00:00:00,9008.0,9023.0,8943.0,8953.0,2428,0,0
2012-09-25 00:00:00,8978.0,9043.0,8953.0,9003.0,2203,0,0
2012-09-26 00:00:00,8918.0,8955.0,8846.0,8848.0,3220,0,0
2012-09-27 00:00:00,8858.0,8963.0,8843.0,8963.0,2501,0,0
2012-09-28 00:00:00,8968.0,8988.0,8818.0,8853.0,2929,0,0
2012-10-01 00:00:00,8813.0,8853.0,8758.0,8828.0,3127,0,0
2012-10-02 00:00:00,8813.0,8843.0,8753.0,8758.0,2530,0,0
2012-10-03 00:00:00,8773.0,8798.0,8733.0,8778.0,6546,0,0
2012-10-04 00:00:00,8783.0,8873.0,8753.0,8838.0,2986,0,0
2012-10-05 00:00:00,8841.0,8918.0,8803.0,8903.0,3094,0,0
2012-10-08 00:00:00,8893.0,8903.0,8778.0,8796.0,10111,0,0
2012-10-09 00:00:00,8790.0,8843.0,8663.0,8683.0,2789,0,0
2012-10-10 00:00:00,8665.0,8665.0,8548.0,8548.0,2703,0,0
2012-10-11 00:00:00,8530.0,8608.0,8510.0,8583.0,2567,0,0
2012-10-12 00:00:00,8560.0,8578.0,8520.0,8538.0,2206,0,0
2012-10-15 00:00:00,8535.0,8633.0,8488.0,8633.0,5225,0,0
2012-10-16 00:00:00,8635.0,8781.0,8630.0,8778.0,3666,0,0
2012-10-17 00:00:00,8775.0,8848.0,8760.0,8843.0,5961,0,0
2012-10-18 00:00:00,8860.0,8988.0,8855.0,8933.0,6048,0,0
2012-10-19 00:00:00,8955.0,9013.0,8865.0,8870.0,7714,0,0
2012-10-22 00:00:00,8845.0,9050.0,8845.0,9000.0,2407,0,0
2012-10-23 00:00:00,9075.0,9080.0,8890.0,8908.0,3042,0,0
2012-10-24 00:00:00,8890.0,9018.0,8890.0,8970.0,2410,0,0
2012-10-25 00:00:00,8960.0,9095.0,8945.0,9060.0,5326,0,0
2012-10-26 00:00:00,9070.0,9080.0,8895.0,8955.0,14778,0,0
2012-10-29 00:00:00,8950.0,8988.0,8880.0,8925.0,3338,0,0
2012-10-30 00:00:00,8935.0,9003.0,8850.0,8888.0,3894,0,0
2012-10-31 00:00:00,8910.0,8965.0,8903.0,8925.0,7024,0,0
2012-11-01 00:00:00,8920.0,9025.0,8888.0,9015.0,8261,0,0
2012-11-02 00:00:00,9040.0,9073.0,9030.0,9035.0,6311,0,0
2012-11-05 00:00:00,9038.0,9038.0,8975.0,8990.0,3184,0,0
2012-11-06 00:00:00,8973.0,9035.0,8958.0,9035.0,2377,0,0
2012-11-07 00:00:00,9025.0,9035.0,8840.0,8840.0,6153,0,0
2012-11-08 00:00:00,8860.0,8888.0,8775.0,8775.0,2562,0,0
2012-11-09 00:00:00,8755.0,8780.0,8695.0,8775.0,7892,0,0
2012-11-12 00:00:00,8730.0,8735.0,8665.0,8695.0,3259,0,0
2012-11-13 00:00:00,8700.0,8723.0,8618.0,8680.0,2986,0,0
2012-11-14 00:00:00,8665.0,8765.0,8653.0,8718.0,5008,0,0
2012-11-15 00:00:00,8690.0,8873.0,8678.0,8840.0,2509,0,0
2012-11-16 00:00:00,8860.0,9065.0,8860.0,9045.0,3021,0,0
2012-11-19 00:00:00,9105.0,9185.0,9105.0,9183.0,2334,0,0
2012-11-20 00:00:00,9200.0,9210.0,9083.0,9180.0,3104,0,0
2012-11-21 00:00:00,9205.0,9303.0,9158.0,9300.0,2238,0,0
2012-11-22 00:00:00,9335.0,9415.0,9303.0,9415.0,4080,0,0
2012-11-23 00:00:00,9428.0,9443.0,9360.0,9440.0,2798,0,0
2012-11-26 00:00:00,9450.0,9488.0,9345.0,9355.0,3858,0,0
2012-11-27 00:00:00,9350.0,9448.0,9350.0,9398.0,3545,0,0
2012-11-28 00:00:00,9370.0,9405.0,9210.0,9315.0,4264,0,0
2012-11-29 00:00:00,9385.0,9435.0,9348.0,9425.0,4657,0,0
2012-11-30 00:00:00,9430.0,9518.0,9378.0,9500.0,7065,0,0
2012-12-03 00:00:00,9485.0,9523.0,9440.0,9458.0,3471,0,0
2012-12-04 00:00:00,9445.0,9453.0,9398.0,9400.0,5211,0,0
2012-12-05 00:00:00,9395.0,9518.0,9375.0,9505.0,2689,0,0
2012-12-06 00:00:00,9500.0,9563.0,9498.0,9500.0,5493,0,0
2012-12-07 00:00:00,9540.0,9568.0,9495.0,9510.0,2390,0,0
2012-12-10 00:00:00,9530.0,9585.0,9480.0,9530.0,1452,0,0
2012-12-11 00:00:00,9515.0,9568.0,9488.0,9565.0,998,0,0
2012-12-12 00:00:00,9580.0,9690.0,9563.0,9690.0,1333,0,0
2012-12-13 00:00:00,9680.0,9768.0,9660.0,9740.0,353,0,0
2012-12-17 00:00:00,9883.0,9888.0,9765.0,9820.0,3435,0,0
2012-12-18 00:00:00,9845.0,10023.0,9830.0,10020.0,3510,0,0
2012-12-19 00:00:00,10045.0,10180.0,10000.0,10135.0,2426,0,0
2012-12-20 00:00:00,10100.0,10138.0,10010.0,10110.0,5870,0,0
2012-12-21 00:00:00,10150.0,10168.0,9913.0,9988.0,3416,0,0
2012-12-24 00:00:00,10060.0,10123.0,10055.0,10110.0,1657,0,0
2012-12-26 00:00:00,10305.0,10340.0,10275.0,10328.0,1741,0,0
2012-12-27 00:00:00,10325.0,10388.0,10300.0,10348.0,2681,0,0
2012-12-28 00:00:00,10440.0,10443.0,10355.0,10360.0,1775,0,0
2012-12-31 00:00:00,10335.0,10485.0,10318.0,10478.0,2727,0,0
2013-01-02 00:00:00,10455.0,10788.0,10455.0,10750.0,3941,0,0
2013-01-03 00:00:00,10803.0,10810.0,10705.0,10778.0,1257,0,0
2013-01-04 00:00:00,10775.0,10795.0,10643.0,10745.0,1725,0,0
2013-01-07 00:00:00,10770.0,10770.0,10530.0,10568.0,1559,0,0
2013-01-08 00:00:00,10595.0,10595.0,10363.0,10400.0,1869,0,0
2013-01-09 00:00:00,10410.0,10625.0,10380.0,10620.0,1740,0,0
2013-01-10 00:00:00,10630.0,10750.0,10618.0,10750.0,1312,0,0
2013-01-11 00:00:00,10830.0,10910.0,10743.0,10880.0,1994,0,0
2013-01-14 00:00:00,10905.0,10998.0,10905.0,10975.0,1542,0,0
2013-01-15 00:00:00,10950.0,10953.0,10760.0,10840.0,1888,0,0
2013-01-16 00:00:00,10860.0,10860.0,10460.0,10635.0,2559,0,0
2013-01-17 00:00:00,10645.0,10693.0,10465.0,10468.0,3014,0,0
2013-01-18 00:00:00,10828.0,10965.0,10798.0,10915.0,2323,0,0
2013-01-21 00:00:00,10960.0,10965.0,10703.0,10800.0,2224,0,0
2013-01-22 00:00:00,10810.0,10853.0,10540.0,10580.0,3622,0,0
2013-01-23 00:00:00,10600.0,10653.0,10420.0,10455.0,2698,0,0
2013-01-24 00:00:00,10445.0,10820.0,10430.0,10780.0,2572,0,0
2013-01-25 00:00:00,10860.0,11060.0,10803.0,10965.0,2737,0,0
2013-01-28 00:00:00,11005.0,11005.0,10715.0,10780.0,2456,0,0
2013-01-29 00:00:00,10740.0,10935.0,10720.0,10850.0,2667,0,0
2013-01-30 00:00:00,10895.0,11175.0,10890.0,11095.0,2493,0,0
