bundle,span_short,span_long,vol_window,forecast_scale,cap,weight,tau,capital,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,-670.7183241843477,-0.02593522358887952,0.0,0.9950365788958598,100000.0,99329.28167581566
2,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,24028.99483442309,0.7044357874738689,0.0,1.1392879663267963,100000.0,124028.99483442308
3,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,-13389.188045263334,-0.4991635413087422,0.0,0.8918630929735428,100000.0,86610.81195473668
4,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,-26943.717026710518,-1.0697224412626607,0.0,0.8009642465247182,100000.0,73056.28297328949
5,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,43952.98115015028,1.1198182085428312,0.0,1.283349280184338,100000.0,143952.98115015027
6,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,7796.670174598628,0.2324756236338551,0.0,1.0563528907044215,100000.0,107796.6701745986
7,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,-28132.61296153072,-1.1304085265075343,0.0,0.7733205041389467,100000.0,71867.38703846929
8,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,40192.640715837435,1.128839808332738,0.0,1.245897141919413,100000.0,140192.64071583745
9,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,-28335.917431116253,-1.470586937224115,0.0,0.7436589532443717,100000.0,71664.08256888374
10,10,50,32,5.0,20,1.0,0.2,100000.0,1.0,50.0,1.0,-2556.1632931232452,-0.07534692041236879,0.0,0.9850174990097855,100000.0,97443.83670687675
