bundle,horizon,cap,vol_window,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,40,20,32,-151.40087890625,-0.20083593787277584,0.0,0.9572844699266242,100000.0,99848.59912109375
2,40,20,32,-610.1005859375,-0.8349146595240683,0.0,0.7433965193540133,100000.0,99389.8994140625
3,80,20,32,-505.0,-0.5477095463282595,0.0,0.8802409493183597,100000.0,99495.0
4,80,20,32,232.39990234375,0.2986225979451765,0.0,1.08260169255763,100000.0,100232.39990234375
5,75,20,32,320.39990234375,0.44000562838711044,0.0,1.1277970373197987,100000.0,100320.39990234375
6,80,20,32,-511.2998046875,-0.7402859928244115,0.0,0.8424734482654873,100000.0,99488.7001953125
7,80,20,32,-246.2998046875,-0.48977346506878405,0.0,0.8007927659808061,100000.0,99753.7001953125
8,75,20,32,-341.2998046875,-0.47754577740101206,0.0,0.895595011732794,100000.0,99658.7001953125
9,80,20,32,-296.7001953125,-0.34062379179149954,0.0,0.9123148688753442,100000.0,99703.2998046875
10,75,20,32,-1238.400390625,-1.6211092868905683,0.0,0.5070846844605711,100000.0,98761.599609375
