,equity
1264,200000.0
1265,199999.9809288913
1266,200000.9525820944
1267,199977.57190793232
1268,199988.1855032375
1269,199819.90006943038
1270,199867.7274763565
1271,199851.75952685258
1272,199854.10959799844
1273,199898.7062060324
1274,199934.64064243142
1275,199812.35643142465
1276,199563.9085517742
1277,199537.4176820885
1278,199490.83817213427
1279,199488.20999850548
1280,199332.77963820647
1281,199268.06722217894
1282,199311.84306691142
1283,199310.03481912613
1284,199329.09064597802
1285,199309.17559449084
1286,199987.10884819896
1287,193921.99183315638
1288,194184.14786579376
1289,195048.96408915095
1290,195119.25727884387
1291,196189.97976248644
1292,197533.68288058045
1293,199101.88892917434
1294,198456.12298747033
1295,196132.34973571723
1296,196345.58407841978
1297,196208.455572025
1298,196663.74054064878
1299,196702.62697144772
1300,196779.4317417344
1301,196855.76703197358
1302,197495.73916515658
1303,196474.19167393268
1304,196590.87504413127
1305,196138.6457792678
1306,194568.0446624354
1307,193885.5085835081
1308,194319.22625230884
1309,194656.3490593751
1310,193793.7917153776
1311,193510.58560786513
1312,193135.49806681415
1313,193160.12174660017
1314,193094.85894474993
1315,193170.36566778415
1316,193105.97298498396
1317,193135.81539690573
1318,193036.6700368939
1319,193024.9786932312
1320,193606.6719753283
1321,189822.85407587411
1322,189447.0979508917
1323,190324.51868290076
1324,193724.99526212516
1325,196018.70585440204
1326,196793.52847540553
1327,188687.25274491592
1328,195085.13949948392
1329,197947.92119640362
1330,191281.36152196262
1331,189867.53707371367
1332,191737.30713919303
1333,193649.25373435149
1334,192673.46303827452
1335,193739.60431388154
1336,196704.54138095365
1337,206857.98742679285
1338,207530.37407757482
1339,202587.0405197005
1340,188090.14310260754
1341,199432.53802681863
1342,190335.75344653596
1343,196232.46806444274
1344,196381.62735896444
1345,198102.92959663365
1346,202972.16692447392
1347,204461.05635974897
1348,199282.51321465077
1349,203636.99822326974
1350,199021.5897412854
1351,199776.9112505762
1352,195119.6594704949
1353,190963.26223182486
1354,186989.17379196803
1355,185938.64895774578
1356,184700.51401931117
1357,183455.1811500719
1358,177013.6801913198
1359,177569.3612984837
1360,176255.49064951847
1361,177248.71919215212
1362,172492.87289701906
1363,175931.3402274205
1364,174190.97087696692
1365,165275.52960253073
1366,161703.54611206782
1367,163427.5890469887
1368,163271.23939988052
1369,168675.72867931283
1370,169267.34125672563
1371,166891.47699175877
1372,163349.20159790918
1373,162657.50251820355
1374,160211.65921181272
1375,160576.092722021
1376,164419.95860109298
1377,162571.66847936882
1378,161660.74352720514
1379,160874.26505001553
1380,158919.48954345734
1381,157873.9422382258
1382,157886.26105788478
1383,157719.52164513333
1384,157087.18407450774
1385,156659.84913992172
1386,156793.3186469273
1387,156496.77002088667
1388,156196.58868015613
1389,156182.03311196735
1390,156243.70949241915
1391,157056.99223737107
1392,155891.91947573354
1393,155851.54071917912
1394,156994.56496593548
1395,161397.1285880515
1396,160225.47698688522
1397,161786.11860835642
1398,159634.85447073507
1399,161590.87481096742
1400,155779.7376241556
1401,158022.84824036868
1402,161301.53779424808
1403,167564.51816171958
1404,173593.4803581579
1405,178145.5005647403
1406,178331.87080832716
1407,177703.81472240615
1408,169965.6560185615
1409,174501.9058095164
1410,185346.19681976057
1411,185674.12442478174
1412,192694.12649336163
1413,184571.45206680044
1414,185953.1032301626
1415,175821.49791628084
1416,172763.7213938398
1417,179813.1551820643
1418,176247.87150962756
1419,182304.24445575027
1420,176945.8121067284
1421,166694.5124423907
1422,168617.37813674717
1423,173274.76525551287
1424,172248.13988099573
1425,173686.91379489677
1426,170058.25094538848
1427,178175.99020480408
1428,172321.0969469817
1429,174102.3180550539
1430,176766.78244853532
1431,178124.02188326663
1432,176102.26733284956
1433,180567.72999925938
1434,172098.9711680544
1435,172193.6123229006
1436,172808.78633362005
1437,170639.27603479158
1438,169459.0814490956
1439,173557.22265473663
1440,171008.8861064695
1441,172449.38137346928
1442,171970.46657344606
1443,175622.92246040475
1444,176789.9590770903
1445,175519.62376938728
1446,179639.50900457287
1447,179067.7781582579
1448,179447.58599783466
1449,177113.87971393767
1450,179867.80799922606
1451,181889.89175295993
1452,175858.1302389379
1453,168180.58026363817
1454,172319.11923282966
1455,181935.3450730913
1456,190725.7286181268
1457,191198.51810903964
1458,190710.98719420284
1459,188284.59917379153
1460,176176.61703757427
1461,172514.70390571366
1462,173648.49519171403
1463,177625.40279056883
1464,180973.79024310998
1465,176975.77304418385
1466,171493.2057329503
1467,174434.49542781344
1468,178486.47755997485
1469,178766.77802249114
1470,181692.98155575377
