period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2006-01,2006-01-04,2006-01-31,19,0.0,0.0,0.0,
2006-02,2006-02-01,2006-02-28,19,-0.0031335012187081457,0.0008110361858206471,-0.0034309084456978223,-3.863577573345278
2006-03,2006-03-01,2006-03-31,23,0.0009684880681553043,0.0035012238231283787,-0.009411286824605902,0.2766141546729082
2006-04,2006-04-03,2006-04-28,19,-0.0011868771698756442,0.009415489758046658,-0.033558496011931505,-0.12605580807533842
2006-05,2006-05-01,2006-05-31,22,-0.03617780135282178,0.009334215918959115,-0.06041687989255151,-3.8758264932932973
2006-06,2006-06-01,2006-06-30,22,-0.016843606466501515,0.015403496077334216,-0.061755011408103244,-1.0934924371673245
2006-07,2006-07-03,2006-07-31,20,0.006356613562126245,0.009252945323048418,-0.030525484635940736,0.6869827217385993
2006-08,2006-08-01,2006-08-31,23,-0.018169992749659136,0.004428340287523052,-0.02781946611549657,-4.103115743126946
2006-09,2006-09-01,2006-09-29,20,0.039833939734835955,0.01114731071229368,-0.024523612635003134,3.573412526386796
2006-10,2006-10-02,2006-10-31,22,0.12911837239700086,0.0195570627779774,-0.039544366634143735,6.602135190893646
2006-11,2006-11-01,2006-11-30,21,0.06600114022196579,0.02484145083322349,-0.07981311827875948,2.6568955519173802
2006-12,2006-12-01,2006-12-29,20,0.01779265334795177,0.016669175221498973,-0.05011016620201181,1.067398543210692
2007-01,2007-01-03,2007-01-31,20,0.020202387168440694,0.01798704493351937,-0.05071517257967173,1.1231632123625248
2007-02,2007-02-01,2007-02-28,19,-0.07662696864313756,0.025242583520882707,-0.11506054173225466,-3.0356230605217385
2007-03,2007-03-01,2007-03-30,22,-0.024308048015924788,0.0028486594630872117,-0.021088526167359345,-8.533153341389966
2007-04,2007-04-02,2007-04-30,20,-0.0042356865327695115,0.007966596811665375,-0.030082281226404883,-0.5316807958157561
2007-05,2007-05-01,2007-05-31,22,0.06187741804809632,0.021170087373479623,-0.06258356797602893,2.92287022516553
2007-06,2007-06-01,2007-06-29,21,-0.046401632338210264,0.017448603196515804,-0.08421167321453193,-2.6593322007274427
2007-07,2007-07-02,2007-07-31,20,0.018818078504283964,0.0031938081912716593,0.0,5.892050297732903
2007-08,2007-08-01,2007-08-31,23,-0.02931912325567676,0.008206680815072009,-0.030187820518322805,-3.572592125409656
2007-09,2007-09-04,2007-09-28,19,-0.015256470660547805,0.004781139336026583,-0.021187297933082605,-3.190969680717747
2007-10,2007-10-01,2007-10-31,23,0.019027382079213284,0.01649922240811174,-0.06698855966071249,1.1532290194390367
2007-11,2007-11-01,2007-11-30,21,-0.10388963635638704,0.012703751024692239,-0.08347638525650125,-8.177870941775945
