date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2006-01-03,10847.41015625,0.0,,10847.41015625,10847.41015625,,,,,0,2.8976281438837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-04,10880.150390625,32.740234375,,10850.528273809525,10848.218557098766,,,,,0,2.8976281438837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-05,10882.150390625,2.0,,10853.539903982428,10849.056380148797,,,,,0,2.8976281438837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-06,10959.3095703125,77.1591796875,,10863.613205537673,10851.778681140493,,,,,0,2.8976281438837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-09,11011.900390625,52.5908203125,,10877.73579459361,10855.7323035969,,,,,0,2.8976281438837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-10,11011.580078125,-0.3203125,,10890.482869215646,10859.580396795125,,,,,0,2.8976281438837797,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-11,11043.4404296875,31.8603515625,,10905.050255927252,10864.120150693703,,,,,0,2.8976281438837797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,1,OOS
2006-01-12,10962.3603515625,-81.080078125,,10910.508360273467,10866.545834665772,,,,,0,2.8976281438837797,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-13,10959.8701171875,-2.490234375,,10915.209479979565,10868.850137937914,,,,,0,2.8976281438837797,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
2006-01-17,10896.3203125,-63.5498046875,,10913.410511648177,10869.528413853028,,,,,0,2.8976281438837797,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,1,OOS
