period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2005-12,2005-12-22,2005-12-30,6,0.0,0.0,0.0,
2006-01,2006-01-02,2006-01-31,22,0.0,0.0,0.0,
2006-02,2006-02-01,2006-02-28,20,0.02641141527446167,0.007802698838841032,-0.023180704738288482,3.384907686426184
2006-03,2006-03-01,2006-03-31,23,0.013355345834846322,0.007246568541209718,-0.0341086790495444,1.8429889621408073
2006-04,2006-04-03,2006-04-28,19,0.0035848018401529735,0.007807709607494439,-0.020076037275703618,0.4591361641718854
2006-05,2006-05-01,2006-05-31,23,-0.11278091615274977,0.020597329340696423,-0.15544154426583967,-5.475511620330119
2006-06,2006-06-01,2006-06-30,22,-0.022032882822633826,0.007604569072625129,-0.04590788910843757,-2.897321677561932
2006-07,2006-07-03,2006-07-31,21,-0.004166814640284899,0.005282180862410699,-0.020285489124288514,-0.7888436138067477
2006-08,2006-08-01,2006-08-31,23,0.00032519076038250994,0.0026822861525518005,-0.011312230785695543,0.12123641620903824
2006-09,2006-09-01,2006-09-29,21,0.03700573839069543,0.008830992482843707,-0.019667450432984568,4.190439348984595
2006-10,2006-10-02,2006-10-31,22,0.10870180286828113,0.012277154493471307,-0.022561109793540424,8.85398998001419
2006-11,2006-11-01,2006-11-30,22,0.042501547294523156,0.020920050892202884,-0.082263716450791,2.0316177772953656
2006-12,2006-12-01,2006-12-29,20,0.05869673994427238,0.013873095972732898,-0.03496780488265849,4.230976276646456
2007-01,2007-01-02,2007-01-31,22,0.05871803692324895,0.016252301255785237,-0.040425612652795984,3.61290601245454
2007-02,2007-02-01,2007-02-28,20,-0.08233773275253198,0.030351308643742386,-0.13735825900668663,-2.7128231510211265
2007-03,2007-03-01,2007-03-30,22,-0.01493016703342187,0.012552724419930227,-0.044233046272181276,-1.1893965432489642
2007-04,2007-04-02,2007-04-30,20,0.05056966909416505,0.006422515342155388,-0.007343854342522715,7.873810555537564
2007-05,2007-05-01,2007-05-31,22,0.10774759106695542,0.012516175124050653,-0.03213518725432074,8.60866758406978
