bundle,horizon,cap,vol_window,multiplier,tau,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,80,20,32,5.0,0.2,32079.16015625,0.879030981562176,0.0,1.21714097435067,100000.0,132079.16015625
2,40,20,32,5.0,0.2,-27525.19775390625,-0.7900404153758152,0.0,0.849264561960368,100000.0,72474.80224609375
3,80,20,32,5.0,0.2,9688.35693359375,0.32999481969734334,0.0,1.0659543934131084,100000.0,109688.35693359375
4,80,20,32,5.0,0.2,2904.40185546875,0.09104048510345028,0.0,1.019418950375765,100000.0,102904.40185546875
5,20,20,32,5.0,0.2,467.34619140625,0.0149716358077935,0.0,1.0029823546806103,100000.0,100467.34619140625
6,20,20,32,5.0,0.2,-12839.2236328125,-0.37329584264246,0.0,0.9224155813772646,100000.0,87160.7763671875
7,80,20,32,5.0,0.2,-42533.45703125,-1.3763121944653893,0.0,0.7394114079911742,100000.0,57466.54296875
8,75,20,32,5.0,0.2,32790.2685546875,1.0076453626177915,0.0,1.2579498084979797,100000.0,132790.2685546875
9,75,20,32,5.0,0.2,2794.296875,0.08166909475671713,0.0,1.0179737986795223,100000.0,102794.296875
10,75,20,32,5.0,0.2,-17403.349609375,-0.4505614704829527,0.0,0.8923067533118141,100000.0,82596.650390625
