bundle,span_short,span_long,vol_window,cap,tau,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
1,10,80,32,20,0.2,1.0,5.0,1.0,33584.2568397522,0.7139525710735911,0.0,1.1532535421577406,100000.0,133584.2568397522
2,10,80,32,20,0.2,1.0,5.0,1.0,35488.34457397461,0.7387363042857081,0.0,1.1437039105432572,100000.0,135488.34457397464
3,10,80,32,20,0.2,1.0,5.0,1.0,22581.10498428342,0.5047481150702148,0.0,1.0966917461606909,100000.0,122581.1049842834
4,10,50,32,20,0.2,1.0,5.0,1.0,-3086.747055053718,-0.09084455860531815,0.0,0.9820726430105075,100000.0,96913.25294494627
5,10,50,32,20,0.2,1.0,5.0,1.0,5515.153884887691,0.15444557775635984,0.0,1.0359709521671736,100000.0,105515.15388488768
6,10,80,32,20,0.2,1.0,5.0,1.0,26209.09393310547,0.6341454530326501,0.0,1.1373514049988542,100000.0,126209.09393310547
7,10,80,32,20,0.2,1.0,5.0,1.0,11239.696350097649,0.2791701936758004,0.0,1.0576068121063777,100000.0,111239.69635009766
8,20,80,32,20,0.2,1.0,5.0,1.0,6949.646606445312,0.19488078860361618,0.0,1.041869143910096,100000.0,106949.64660644531
9,20,80,32,20,0.2,1.0,5.0,1.0,2030.09521484375,0.05449164282315042,0.0,1.0118509891470697,100000.0,102030.09521484375
10,20,80,32,20,0.2,1.0,5.0,1.0,4124.302978515625,0.09584356512849879,0.0,1.0211838681081347,100000.0,104124.30297851562
